Course Code,Course Name,Credits,Prereqs,Description
ACCT351,Business Law II,3,ACCT 350,"Covers variety of areas of law, including agency, partnerships, corporations, unfair competition, debtor-creditor relationships, bankruptcy, secured transactions, real and personal property, wills and trusts."
ACCT352,Law and Social Issues in Business,3,No prerequisites.,"Focuses on the legal environment of business, including objectives of the law, sources of the law, regulatory and judicial process, and effect of government and society on the formation and evolution of the law."
ACCT363,Service Learning and Earned Income Tax Credit,3,No prerequisites.,"Requires 8-12 hours of training in tax preparation for people with incomes low enough to qualify for the EITC (Earned Income Tax Credit). In addition, at least 34 hours of service preparing returns for this type of taxpayer is expected."
ACCT364,Accounting in Practice,3,"ACCT 315, ACCT 327",Requires at least 120 hours of an accounting-related internship with verification by the hiring company. Term paper relating the real-world duties and experiences of the internship to principles learned in traditional accounting classes also required.
ACCT366,Independent Study,6,No prerequisites.,Description not available.
ACCT367,SEMINAR,6,No prerequisites.,Description not available.
ACCT395,Seminar: International Accounting,3,ACCT 207,Seminar on selected topics in international accounting. Combines lectures and visits to local organizations.
ACCT402,Big Data Technologies,3,ACCT 302,"Exposes students to the different phases of big data projects: discovery, collection, enrichment, analysis, and decision making. Students learn how to actually implement Big Data solutions."
ACCT405,Current Issues in Management Information Systems,3,No prerequisites.,"Addresses current information technology challenges in today’s business environment. Although content will constantly change to reflect current technology and emerging issues, topics include: big data, openness in today’s information systems, the cloud computing environment, the role of XML, digital financial reporting, ERP and Web services, the interoperability of information systems, and the Resource Description Framework."
ACCT410,Theory of External Reporting,3,ACCT 316,Covers the traditional model of accounting for information users external to the firm as well as modern descriptive research. Examines institutional environment and impact of the organization on development of accounting theory and practice.
ACCT413,Income Tax Accounting,3,"ACCT 315, ACCT 315",Analysis of recent revenue acts; use of federal law and regulations todetermine tax liability.
ACCT414,Advanced Federal Taxation,3,ACCT 413,"Advanced federal tax concepts including income taxation of corporations, partnerships, estates, and trusts as well as wealth transfer taxes (Estate and Gift Tax)."
ACCT415,Advanced Accounting,3,"ACCT 316, ACCT 316","Introduction to branch accounting, consolidations, partnerships, fund accounting for state and local governments, and accounting for international transactions. Other relevant topics may also be covered."
ACCT416,Fiduciary Income Tax,3,"ACCT 313, ACCT 413, ACCT 352",Description not available.
ACCT417,Auditing,3,"ACCT 316, ACCT 316","Introduction to standards and procedures underlying contemporaryauditing.  Topics include ethics, legal liability, internal control, auditevidence, audit reports, statistical sampling, the audit of computerizedsystems, operational auditing, other engagements and services."
ACCT418,Estate Planning,3,"ACCT 350, ACCT 352","Focuses on the efficient conservation and transfer of wealth. Studies the legal, tax, financial, and non-financial aspects of this financial planning process, covering topics such as trusts, wills, probate, advance directives, gift planning, wealth transfers, and related taxes."
ACCT420,Theory of External Reporting and Applications,3,ACCT 315,Study of contemporary models of accounting for information users external to the firm. Includes an examination of the institutional environment and the impact of the institutions on the development of accounting theory and practices.
ACCT425,Strategic Information Systems and Accounting,3,"ACCT 302, ACCT 316","Explores the role of accounting and information systems in accomplishing thestrategic goals of the corporation. Students exposed to accountinginformation from large data bases, enterprise-wide computing environments andcases and projects related to strategic problem solving across functionalareas of business."
ACCT433,Internal Auditing,3,No prerequisites.,"Covers internal audit from a broad perspective and the important role in today’s companies. Topics include: Governance, Ethics, Business Processes, Risk Assessments, Controls, and Information Technology."
ACCT450,Legal Issues of Trust and Fiduciary Entities,3,"ACCT 352, ACCT 350",Description not available.
ACCT457,Legal Issues for Entrepreneurs,3,No prerequisites.,"Explores important legal issues faced by entrepreneurs as they put their ideas into action. Topics are sequenced to mirror the entrepreneurial process, beginning with pre-startup issues like partnership agreements and intellectual property, continuing to entity formation, governance and ownership issues, and ending with emerging growth and exit transactions."
ACCT466,Independent Study,6,No prerequisites.,Description not available.
ACCT467,SEMINAR,6,No prerequisites.,Description not available.
ACCT483,Introduction to International Accounting,3,"ACCT 207, ACCT 315","Describes the functions of international accounting; foreign currency transactions, financial statement translation, inflation, auditing and taxation. Current issues are covered as appropriate."
AGED166,SPECIAL PROBLEM,3,No prerequisites., 
AGED167,SEMINAR,6,No prerequisites.,Description not available.
AGED266,Special Problem,3,No prerequisites.,Description not available.
AGED267,SEMINAR,6,No prerequisites.,Description not available.
AGED366,Independent Study,6,No prerequisites.,Description not available.
AGED367,SEMINAR,6,No prerequisites.,Description not available.
AGED466,Independent Study,6,No prerequisites.,Description not available.
AGED467,SEMINAR,6,No prerequisites.,Description not available.
AGRI100,Organic and Sustainable Farming,3,No prerequisites.,"Introduction to sustainable food systems for students with little or no background in agricultural sciences. The history, common practices, regulations, economics, nutritional, environmental and sustainability issues surrounding the organic food industry are discussed within the broad context of sustainable food systems. Students will actively participate in growing crops organically and conventionally on the Newark Farm to develop a fuller understanding of challenges and opportunities of organic farming."
AGRI130,Understanding Today’s Agriculture,3,No prerequisites.,"Broad overview of Delaware agriculture and its associated industries. Topics include agronomic, vegetable, fruit, and livestock production; management of water and other natural resources; agricultural statistics, marketing, and promotion; food safety, supply, and security; state government; the importance and impact of technology (GMOs and precision ag); impact on corporate America and on climate; social media.  Classroom blog, guest speakers, workforce preparation, and various field trips allow for interactive and hands-on experiences."
AGRI165,Mastering the Freshman Year,1,No prerequisites.,"Focuses on academic services, career exploration and preparation, campusresources, and practical skills that are helpful in mastering the freshmanyear."
AGRI166,SPECIAL PROBLEM,3,No prerequisites.,Description not available.
AGRI167,SEMINAR,6,No prerequisites.,Description not available.
AGRI217,Leadership and Communication in Agriculture,3,No prerequisites.,Communication skills as they relate to leadership styles will be explored.  Practical experience in oral and written communication as well as social media will occur with a hybrid course with one session in class and on on-line.
AGRI224,One Health,3,No prerequisites.,"Introduction to the concept of One Health: the integration of human, animal and environmental health. Specific focus will be given to bacterial, viral and fungal zoontic and emerging diseases, agriculture, and the use and misuse of antibiotics in animal and human health."
AGRI240,Topics in Sustainable Farm Management,3,No prerequisites.,"The focus of this course is on promoting environmental stewardship, enhancement of the quality of life for farm families and communities, increasing production for human food and fiber needs, and protection of the environment and expansion of the natural resources supply. Topics such as ecological, economic and social concerns related to agriculture, its impact on human health and philosophical considerations associated with agricultural production may also be addressed in this course."
AGRI266,SPECIAL PROBLEM,3,No prerequisites.,Description not available.
AGRI267,SEMINAR,6,No prerequisites.,Description not available.
AGRI366,INDEPENDENT STUDY,6,No prerequisites.,Description not available.
AGRI367,SEMINAR,6,No prerequisites.,Description not available.
AGRI400,Senior Capstone in Agriculture and Natural Resources,1,No prerequisites.,Capstone experience for students in the Agriculture and Natural Resources interdisciplinary major.  A culminating and integrative experience that examines issues facing the agriculture and natural resource fields.
AGRI467,SEMINAR,6,No prerequisites.,Description not available.
AFSC110,Foundations of the United States Air Force I,1,No prerequisites.,"Survey course which briefly covers topics relating to the Air Force and defense. Focuses on the structure and missions of Air Force organizations, officership and professionalism. Introduction into the use of communication skills."
AFSC111,Foundations of the United States Air Force II,1,No prerequisites.,Decsription not available.
AFSC150,Initial Military Training I,0,No prerequisites.,This course (to be taken in conjunction with 
AFSC151,Initial Military Training II,0,No prerequisites.,Decsription not available.
AFSC166,SPECIAL PROBLEM,3,No prerequisites.,Description not available.
AFSC167,SEMINAR,6,No prerequisites.,Description not available.
AFSC210,Evolution of United States Air and Space Power I,1,No prerequisites.,"Survey course focused on the beginnings of manned flight and the development of aerospace power in the United States, including the employment of air power in WWI, WWII, Korea, Vietnam, the Gulf War and the peaceful employment of U.S. air power in civic actions, scientific missions and support of space exploration."
AFSC211,Evolution of United States Air and Space Power II,1,No prerequisites.,Decsription not available.
AFSC250,Field Training Preparation I,0,No prerequisites.,This course (to be taken in conjunction with 
AFSC251,Field Training Preparation II,0,No prerequisites.,This course (to be taken in conjunction with 
AFSC266,SPECIAL PROBLEM,3,No prerequisites.,Description not available.
AFSC267,SEMINAR,6,No prerequisites.,Description not available.
AFSC310,Leadership Studies I,3,No prerequisites.,"This course is a study in the anatomy of leadership, the need for quality and management leadership, the role of discipline in leadership situations and the variables affecting leadership. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts. Deal with actual problems and complete projects associated with planning and managing the Leadership Laboratory."
AFSC311,Leadership Studies II,3,No prerequisites.,Decsription not available.
AFSC350,Intermediate Cadet Leader Training I,0,No prerequisites.,This course (taken in conjunction with 
AFSC351,Intermediate Cadet Leader Training II,0,No prerequisites.,This course (taken in conjunction with 
AFSC367,SEMINAR,6,No prerequisites.,Description not available.
AFSC410,National Security Affairs I,3,No prerequisites.,"Learn about the role of the professional military leader in a democratic society; societal attitudes toward the armed forces; the requisites for maintaining adequate national defense structure; the impact of technological and international developments on strategic preparedness and the overall policy-making process; and military law. In addition, you will study topics that will prepare you for your first active-duty assignment as an officer in the Air Force."
AFSC411,National Security Affairs II,3,No prerequisites.,Decsription not available.
AFSC450,Senior Cadet Leader Training I,0,No prerequisites.,This course (taken in conjunction with 
AFSC451,Senior Cadet Leader Training II,0,No prerequisites.,This course (taken in conjunction with 
AFSC467,SEMINAR,6,No prerequisites.,Description not available.
AFRA107,History of Rock,3,No prerequisites.,"The study of various styles of rock music. Introduction to folk, country, blues, and jazz as predecessors to rock. Intended for the non-music major. No music reading skills required."
AFRA110,Introduction to African American Studies,3,No prerequisites.,"Assesses the status of Black America in the modern technological order through an examination of the major spheres of institutional life, including employment, education politics, criminal justice and the military."
AFRA134,History of Africa,3,No prerequisites.,"Introduction to African history south of the Sahara, from the earliest times to 1914. Introduces major themes in African history: pre-colonial African political, social and economic institutions; diversity in African political organizations; slave trade and colonialism."
AFRA166,Special Problem,3,No prerequisites.,Description not available.
AFRA167,SEMINAR,6,No prerequisites.,Description not available.
AFRA193,Special Topics: Re(de)constructing AfroLatinx Intersections,3,No prerequisites.,"This course takes a multidisciplinary approach to the study of peoples of African descent in Caribbean and Latin American context. This course begins with continental Africa from early times (concerning the TransAtlantic Slave Trade and continues to contemporary times. The course reviews the geography, history, social, political, and economic developments of peoples of African descent in the Caribbean and Latin America. It also reviews the evolution and implication of the Atlantic slave trade and the dispersal of peoples of African descent in the Caribbean and Latin American realm and the effects of enslavement involving cultural development."
AFRA203,Architecture and Power in Africa,3,No prerequisites.,"Explores architecture in Africa as a representation both of political power and social/religious complexity. Architecture’s relationship to art forms a component of course content. Always regionally focused, lecture vary by semester among these five zones: West Africa and the Maghreb, the Sahel (West Africa and East Africa), East Africa and the Nile Valley, Southern Africa, and Central Africa."
AFRA204,Urban Communities,3,No prerequisites.,"Urbanization, rural-urban social differences and the organization of urban communities by race, class, ethnicity and stage in the life cycle."
AFRA205,Contemporary African American Issues,3,No prerequisites.,The impact of important issues involving African American people in contemporary American society. Critical theoretical analyses of trends that affect programs of the Black community writ large.
AFRA206,Survey of African American Culture,3,No prerequisites.,"Historic and contemporary aspects of African American culture. A multi-faceted approach utilizing resources from music, literature, history, folklore, religion and sociology."
AFRA207,History of Jazz,3,No prerequisites.,"Chronological study of the style changes in jazz from the late 19th century to the present. Emphasis on the sociological, economic and technological influences of the period and on the principal personalities who have been primarily responsible for change."
AFRA214,Intersectional Feminisms,3,No prerequisites.,"Unpacking the role that white feminism has played in dictating the universal, essential woman, this course interrogates the intersectional frameworks and knowledges produced by women of color that embrace and complicate established feminist frameworks. This course addresses  the inter and intra relationship of women of color with feminism, locally and globally. Using both a theoretical and applied approach, we will analyze how historical and contemporary realities of women of color are influenced by a legacy of structural inequalities. The approach to this course will pay particular attention to sociological aspects of identity as well as cultural representations that are manifestations of systems of oppression. Finally, the course moves beyond intersectionality as “identity politics” and examines the ways in which power is deployed through interlocking systems of oppression including white supremacy, patriarchy, and advanced capitalism."
AFRA215,Race in Society,3,No prerequisites.,"Examination of the social construction of race and its importance in institutions and social identify. History of race in the United States, including access to rights and privileges and how groups worked for racial equality. and how race structures relationships among diverse groups in society. Includes analysis of rights and privileges denied or extended to groups and how disadvantaged groups work towards racial equality."
AFRA216,African American Literature Survey,3,ENGL 110,Literature by African American Writers from the eighteenth through twenty-first centuries.
AFRA220,The Civil Rights Movement,4,No prerequisites.,"This course examines African American struggles for freedom, equality, and citizenship from the 1940s to the present."
AFRA221,Race and Sports in American Society,3,No prerequisites.,Description not available.
AFRA222,Racial Politics in Today’s Sports,3,No prerequisites.,Description not available.
AFRA223,"Sports, Media, and Culture",3,No prerequisites.,"This course examines the interrelationship of sports, media, and culture in today’s society and how that interrelationship sometimes reinforces or challenge social values. It draws on the cultural identification of class, race, and gender to identify sports values and cultural values. Drawing on theories of culture, rhetoric, and social criticism, we will examine media’s role in telling the story of sports and, in telling that story, shapes cultural values. Students will study several critical approaches to sports and public discourse and will apply those approaches to journalism, public relations, the news and popular media, and other forms of mass communication."
AFRA224,Race and Racism: Global History and Representation,3,No prerequisites.,"Racism is a hot-button issue globally. Although thoroughly debunked and are more widely condemned than ever, it nevertheless continues to surface in government policies, popular representations, and brutal acts of violence. What is it that makes racism so intractable? This course works to answer that question by analyzing racism as a problem that’s deeply em-bedded in Western societies, albeit similarly prevalent in many non-Western countries. We’ll also look at how racism connects with other social categories such as Indigeneity, gender, sexuality, disability, religion and class. And in addition to considering how racism has oper-ated to oppress, exclude and scapegoat, we’ll also be attentive to how marginalized groups have fought back."
AFRA225,Black Male Experience,3,No prerequisites.,Description not available.
AFRA226,"Gender, Race, and Masculinity in Sports",3,No prerequisites.,"A sociologically oriented course that  integrates the substantive areas of sport from this and other academic disciplines. We also take a feminist, interdisciplinary and intersectional perspective. The course interrogates issues of masculinity that impact the institution of sports in  American society. The course will examine selected sport & society topics of intellectual interest. Applying these lenses to the study of sport focuses our attention on sports as a major American institution."
AFRA227,Popular Music of the Global South,3,No prerequisites.,Description not available.
AFRA228,From Soul to Hip Hop,3,No prerequisites.,Description not available.
AFRA230,Introduction to Politics and Social Justice,3,No prerequisites.,"In order to challenge discrimination and oppression, it is vital to understand how systems of discrimination develop and are perpetuated and how these are challenged. This class will familiarize students with key concepts and issues in social justice, including: social construction, discrimination, privilege, systemic oppression, implicit bias and social activism. Because issues of social justice span the globe, this class will emphasize the links between both American and global social justice issues."
AFRA240,Create Performances about Black American History using all Art Forms,3,No prerequisites.,"Culminate in the creation of new theatrical works based in African American History using Theatre, Music, Dance, Writing, Literature, Painting, Sculpture, Sets, Costumes, Lighting, Sound, and Multi-media."
AFRA248,African American Art,3,No prerequisites.,Description not available.
AFRA250,Afro Future Females,3,No prerequisites.,"This course focuses on visual, literary, and sonic representations of black womanhood of the 20"
AFRA251,"Addressing Inequity (Social, Political, Economic, Educational)",3,No prerequisites.,"Through an interdisciplinary lens this course explores current social, political, educational and economic inequities facing the black community and critically assess their causes, effects, and possible solutions (i.e. disenfranchisement, the school-to-prison pipeline, mass incarceration, policing, and poverty)."
AFRA266,SPECIAL PROBLEM,3,No prerequisites.,Description not available.
AFRA267,SEMINAR,6,No prerequisites.,Description not available.
AFRA293,Special Topics in Africana Studies,3,No prerequisites.,Topics vary.
AFRA295,Black Women and Christianity,3,No prerequisites.,"This course explores how Black women’s experiences in church and society affect about the meaning of God, Jesus and salvation. This introduction to womanist theology demonstrates how Christian faith can be rooted in their experiences. As black Christian women define faith for themselves, they analyze church teachings, challenge church structures and re-interpret media."
AFRA296,Honors Forum,1,No prerequisites.,"Recent topics include Passing the Torch: An Interdisciplinary Look at a World Poised for Change; Living in History; Representations of Race, Class and Gender in the Media; Sexual Identity in Contemporary Culture. May be repeated for credit when topics vary."
AFRA298,"Research on Race, Ethnicity and Culture",1,No prerequisites.,"Lecture series in which faculty and guest speakers discuss their research on contemporary and historical perspectives on race, ethnicity and culture. Research presented from several disciplines, including sociology, history, literature, anthropology and psychology, among others."
AFRA303,Black Family in America,3,No prerequisites.,Social history of Black family in America from 1619 to present.
AFRA304,African American History to the Civil War,3,No prerequisites.,The history of African American life and culture to the Civil War.
AFRA305,Black Media Cultures,3,No prerequisites.,"Evaluate various forms of media by black cultural producers that prompt nuanced understandings of black social life, from documentary and mainstream film to Black Twitter to video games."
AFRA306,African America History Since the Civil War,3,No prerequisites.,"Provides an overview of the major themes, issues, and debates in African American History from the Civil War to the contemporary era. Through readings, lectures, discussions, and films, the course will address: the process of emancipation, Reconstruction, Jim Crow segregation and racial violence, black cultural production, the modern black freedom struggles, and black life in the 21st century."
AFRA307,Black Thought and Philosophy,3,No prerequisites.,"Readings and discussions of Black philosophies, ideologies and concepts as reflected in the thought of significant Black figures."
AFRA308,African American History in Delaware,3,HIST 105,Survey course in Delaware Black history. The Black American in Delaware from colonial times to recent developments.
AFRA309,Political Culture By Country,3,No prerequisites.,Introduction to the political and civic cultures underpinning and supporting different political systems. Topics may vary depending on host country.
AFRA313,African American Literature I,3,ENGL 110,Literature by African American writers from the eighteenth century to the Harlem Renaissance.
AFRA314,International Black Desig,3,No prerequisites.,"This course looks at the breadth and depth of international Black design from the 20th century to contemporary times, concentrating on African American designers. Using historical and cultural analysis to place designed objects in their context, students understand the symbiotic relationships among design, politics, history, and culture"
AFRA315,Issues in Black Photography,3,No prerequisites.,"A critical race history of blacks as subjects, producers, and theorists of photography. Includes examination of issues, ideas, and creativity with respect to African American and African diasporic photography from the late nineteenth century to the present day. Topics range from portraiture and documentary photography to considerations of race and representation, black consciousness, strategies of resistance and identity formation, class, sex, and gender."
AFRA318,Feminism(s) and Fashion in the African Diaspora,3,No prerequisites.,"Examine classic black feminist texts and cutting-edge scholarship on body politics and popular culture. Together, these materials will illuminate the vibrancy and diversity of fashion in the African diaspora emphasizing its political implications. Our exploration of underground and mainstream fashion cultures just might change what we think we know about black feminism and its cultural-political legacies."
AFRA320,History and Significance of Race in America,3,No prerequisites.,Description not available.
AFRA321,Black Women and Popular Culture,3,No prerequisites.,Black women are a force in U.S. popular culture. This course introduces students to cutting-edge black feminist and queer theory as it examines representations of black women in contemporary media culture.
AFRA322,Politics and the African-American Experience,3,No prerequisites.,Provides an insight and understanding of race as an intricate part of the political process in the United States. Role of race in United States politics is explored primarily through the political experiences of black Americans and how the political system has responded.
AFRA325,Contemporary Black Art,3,ARTH 345,"Examines the art and visual culture of the African diaspora since the 1960s. Topics include the Black Arts Movement in the USA and UK, Abstract Expressionism, the Afri-Cobra movement, recycled stereotypes, installation art, and performance art."
AFRA326,The African Diaspora and the World,3,No prerequisites.,"Focus on the historical, geographical, and cultural specificities of cultures in the African diaspora. Addresses the following main topics: history and geography of the African diaspora; slavery and responses to slavery (rebellions and revolutions); the ‘big thinkers’ of the African Diaspora, cultural manifestations (music and religion); discourses of whiteness, and ways to remember the Motherland."
AFRA327,"Race, Gender, Science",3,No prerequisites.,"A critical analysis of the social and scientific foundations of racial, ethnic and gender-based inequities in the U.S. Topics include implicit bias, stereotype threat, use of race, gender, or similar categories in science, and so forth. The course highlights often-overlooked contributions of prominent scientists from under-represented or minoritized groups. Upon completion, students will be able to identify practices, policies and institutional structures that inhibit diversity, equity, and inclusion (DEI) and know how to engage in practices that support DEI in such settings."
AFRA329,Black Women’s History to 1865,3,No prerequisites.,This course brings into focus the lived experiences of Black women throughout United States history through the end of the Civil War. Beginning with the first African women to encounter North American shores in the 17
AFRA330,Rhetoric of Black America,3,No prerequisites.,"Utilize the practical tools of rhetorical criticism to examine, attempt to understand and analyze the advocacy and discourse of African Americans throughout history and the present. The methods utilized will include classical and contemporary African rhetorical theories as well as classical and contemporary theories of rhetorical analysis better known to European and North American scholars. Choose specific speakers and engage in a rhetorical criticism of some element of the discourse of that speaker."
AFRA331,History of Caribbean I,3,No prerequisites.,"Examines major themes in Caribbean history from the pre-Columbian period to the end of slavery in 1838. Discussion of the demographic and ecological consequences of European contact, sugar, and slavery, the evolution of Creole cultures and slave resistance."
AFRA332,History of Caribbean II,3,No prerequisites.,"Examines the period from 1838 to the present. Includes a discussion of the social and economic adjustments to emancipation, the making of plural societies with the importation of Asian laborers, American imperialism, and political and social movements of the twentieth century."
AFRA333,Peoples of Africa,3,No prerequisites.,"Social institutions and cultural traditions of Africa; political, economic, legal and kinship systems, and modes of thought."
AFRA334,Black Women’s History Since 1865,3,No prerequisites.,"Explores the diversity of African American women’s lives and development of women, work, and culture from 1865 through the late 20th century. Examines the social, political, religious and economic factors affecting change and transformation in the lives of African American women. Provides a broad introduction to the interdisciplinary field of African American and Women’s Studies."
AFRA335,Experiential Education,3,HDFS 311,"Field experience combined with a seminar emphasizing professional issues in human services and human resources, including portfolio development and career planning. Students must secure a 50 hour field placement the semester before the course is taken."
AFRA336,American Slavery,3,No prerequisites.,"In this class we will examine the institution of slavery from 1619 through the Civil War. This course has a number of goals, one of which is to examine the peculiar institution over space and time within colonial and antebellum America."
AFRA340,African American Theater,3,No prerequisites.,"Introduction to African American Theatre and the impact of African Americans in theatre performance. Critical discussions of plays and historical events, and allows students to uncover how non-traditional casting affects the playing and development of a theatrical performance. Explore the similarities and differences of theatrical styles and tactics as they pertain to African American theatre and performance."
AFRA341,"Gender, Race and Policing",3,No prerequisites.,"Interrogates the myriad ways in which Black Bodies are formally and informally policed.  Special focus is given to the ways in which Black women’s bodies are policed not only by the criminal justice system, but also informally through sexual and intimate partner violence, forced sterilization and contraception. Course utilizes the theoretical lenses of intersectionality and of color blind racism."
AFRA345,African American Literature II,3,ENGL 110,Literature by African American writers from the Harlem Renaissance to the present.
AFRA347,Studies in American Literature,3,No prerequisites.,"Special topics, ranging from the beginnings to contemporary American literature; may include studies in a single author or authors (e.g., the detective stories of Poe) or period and genre studies (e.g., the Harlem Renaissance or the humor of the old southwest). Variable content."
AFRA350,Race and Work in the United States,3,No prerequisites.,"Examines how race affects work-related experiences and opportunities of black workers in the United States.  Explores ways in which race, class, gender and other systems of social organization operate to determine access to resources, how resource access is managed and restricted, and to what extent workers are able to achieve economic and occupational mobility. Also looks at cultural and social capital formation and their impact on Black workers’ employment outcomes. "
AFRA351,Race and Ethnicity in Latin America,3,No prerequisites.,"Explores the multiple, complex and historically changing meanings of race and ethnicity in Latin America, and the consequences of discrimination towards specific groups. Regions covered are the Caribbean, Mexico and Central America, and the Andean, Atlantic and Southern Cone regions of South America."
AFRA352,Black Feminist Theory,3,No prerequisites.,"Explores black women and their struggles to define and redefine themselves in the US, from the age of slavery to the modern era. Examines the historical evolution of black feminist theory starting with slave narratives and ending with contemporary readings."
AFRA355,"Inequality, Crime and Justice",3,No prerequisites.,"Introduction to challenges in addressing crime in a multiracial, multiethnic, class-stratified society. This context serves as a backdrop for inquiry into crime causation, operations of the criminal justice system, and experiences of relevant actors."
AFRA356,Studies in Modern/Contemporary Literature,3,ENGL 110,"Study of selected topics in 20th century British, American and world literature, e.g., the contemporary epic novel, post-colonial writing and politics."
AFRA361,Racial Inequality,3,SOCI 201,"A detailed examination of racial inequality, including the social construction of race, the nature of oppression and advantage, government policies, and resistance strategies. There will be attention to the status of men, women, and social class diversity within racial-ethnic communities."
AFRA363,History of African Americans in the American West,3,No prerequisites.,"Examine the history of people of African descent in the western region of the United States from the Spanish colonial era to the present. Focus on contributions of men and women who shaped history of the region, of black America, and of the entire nation."
AFRA364,The African Diaspora in Indian Country,3,No prerequisites.,Interdisciplinary exploration of the interactions between African Americans and Native Americans in the Americas (with a specific focus on the U.S.) from the colonial era to the present. Themes explored will be Transatlantic slavery and early Black-Indian continental contacts; American Indians as slaves and slave owners; the Black-Indian experience in the Jim Crow South and frontier West; Afro-Indian people and the politics of mixed-race identity; and contemporary African American and Native American relations in the U.S.
AFRA366,SPECIAL PROBLEM,2,No prerequisites.,Description not available.
AFRA367,SEMINAR,6,No prerequisites.,Description not available.
AFRA369,Slave Narratives in the African Diaspora,3,No prerequisites.,"Examine the institution of slavery in the Americas through the perspective of the slaves who endured it. Letters, speeches, interviews, and narratives will be examined within the historical context of 18th and 19th-century slave society. The goal of the course is to (1) gain a deeper understanding of the slave experience from the slave’s point of view, (2) examine the historical dimensions of slave testimony and its use as historical evidence, and (3) understand the gendered, regional, period, and spatial nuances of the slave experience."
AFRA370,Black Art and Activism in the Digital Age,3,No prerequisites.,This course bridges how social media has changed our relationship to struggles for racial and gender equity and freedom with studies of art and visual culture of black protest in the 21
AFRA371,"African American Music: History and Culture, 1800-1995",3,No prerequisites.,"Examines the history and scholarship of African American music from the age of slavery to the 1990s. Focusing on African American sacred and secular music, investigate how different musical genres–including spiritual, blues, jazz, gospel, rhythm and blues, as well as the birth of hip hop–reflected African Americans’ social, political, and economic experiences."
AFRA372,Philosophy of Hip Hop,3,No prerequisites.,"In examining the philosophy of hip-hop, we will look at its ontology, epistemology, and ethics. We will ask the following questions: What does hip-hop say about the meaning of life and who we are? What does hip-hop say about how we come to know things and what knowledge is? What does hip-hop say about how we should act? How should society be structured?"
AFRA373,Sociology of Gangster Rap Music and Culture,3,No prerequisites.,Critical look at the evolution of Gangster Rap music and culture in low-income Black communities. Also focuses on how “street identified” Black youth and adults–or those engaged in crime as a lifestyle–have organized a sociopolitical and economic movement through their music.
